"模板ID","模板名称","模板分类","导线序号","起点实例ID","起点实例显示名称","起点DefinitionName","起点terminalId","起点端子显示标签","终点实例ID","终点实例显示名称","终点DefinitionName","终点terminalId","终点端子显示标签","导线颜色","导线样式","是否为手动折线","路径点数量","所属回路类型","接线说明","数据来源"
"breaker_lamp_fan_parallel","空开控制灯泡与风扇并联电路","家庭电路","W-001","power_1","220V电源 [power_1]（根据实例 ID 推导）","AC_220V_Power","L","L","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P1_IN","进1","#F21F1F","","否","0","主回路或供电端（推导）","220V电源 [power_1]（根据实例 ID 推导）.L → 空气开关2P [breaker_1]（根据实例 ID 推导）.进1","模板 JSON：Blueprints/Templates/breaker_lamp_fan_parallel_template"
"breaker_lamp_fan_parallel","空开控制灯泡与风扇并联电路","家庭电路","W-002","power_1","220V电源 [power_1]（根据实例 ID 推导）","AC_220V_Power","N","N","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P2_IN","进2","#1A59F2","","是","6","测量回路（推导）","220V电源 [power_1]（根据实例 ID 推导）.N → 空气开关2P [breaker_1]（根据实例 ID 推导）.进2","模板 JSON：Blueprints/Templates/breaker_lamp_fan_parallel_template"
"breaker_lamp_fan_parallel","空开控制灯泡与风扇并联电路","家庭电路","W-003","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P1_OUT","出1","switch_1","单开单控开关 [switch_1]（根据实例 ID 推导）","Single_Control_Switch","L","L","#F21F1F","","否","0","主回路或供电端（推导）","空气开关2P [breaker_1]（根据实例 ID 推导）.出1 → 单开单控开关 [switch_1]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/breaker_lamp_fan_parallel_template"
"breaker_lamp_fan_parallel","空开控制灯泡与风扇并联电路","家庭电路","W-004","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P1_OUT","出1","switch_2","单开单控开关 [switch_2]（根据实例 ID 推导）","Single_Control_Switch","L","L","#F21F1F","","是","6","主回路或供电端（推导）","空气开关2P [breaker_1]（根据实例 ID 推导）.出1 → 单开单控开关 [switch_2]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/breaker_lamp_fan_parallel_template"
"breaker_lamp_fan_parallel","空开控制灯泡与风扇并联电路","家庭电路","W-005","switch_1","单开单控开关 [switch_1]（根据实例 ID 推导）","Single_Control_Switch","L1","L1","lamp_1","电灯泡(220V) [lamp_1]（根据实例 ID 推导）","Lamp_220V","L","L","#F21F1F","","是","6","主回路或供电端（推导）","单开单控开关 [switch_1]（根据实例 ID 推导）.L1 → 电灯泡(220V) [lamp_1]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/breaker_lamp_fan_parallel_template"
"breaker_lamp_fan_parallel","空开控制灯泡与风扇并联电路","家庭电路","W-006","switch_2","单开单控开关 [switch_2]（根据实例 ID 推导）","Single_Control_Switch","L1","L1","fan_1","电风扇(220V) [fan_1]（根据实例 ID 推导）","Fan_220V","L","L","#F21F1F","","是","6","主回路或供电端（推导）","单开单控开关 [switch_2]（根据实例 ID 推导）.L1 → 电风扇(220V) [fan_1]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/breaker_lamp_fan_parallel_template"
"breaker_lamp_fan_parallel","空开控制灯泡与风扇并联电路","家庭电路","W-007","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P2_OUT","出2","lamp_1","电灯泡(220V) [lamp_1]（根据实例 ID 推导）","Lamp_220V","N","N","#1A59F2","","是","6","测量回路（推导）","空气开关2P [breaker_1]（根据实例 ID 推导）.出2 → 电灯泡(220V) [lamp_1]（根据实例 ID 推导）.N","模板 JSON：Blueprints/Templates/breaker_lamp_fan_parallel_template"
"breaker_lamp_fan_parallel","空开控制灯泡与风扇并联电路","家庭电路","W-008","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P2_OUT","出2","fan_1","电风扇(220V) [fan_1]（根据实例 ID 推导）","Fan_220V","N","N","#1A59F2","","是","6","测量回路（推导）","空气开关2P [breaker_1]（根据实例 ID 推导）.出2 → 电风扇(220V) [fan_1]（根据实例 ID 推导）.N","模板 JSON：Blueprints/Templates/breaker_lamp_fan_parallel_template"
"breaker_lamp_template","空气开关控制照明电路","家庭电路","W-001","power_1","220V电源 [power_1]（根据实例 ID 推导）","AC_220V_Power","L","L","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P1_IN","进1","#F21F1F","Orthogonal","是","6","主回路或供电端（推导）","220V电源 [power_1]（根据实例 ID 推导）.L → 空气开关2P [breaker_1]（根据实例 ID 推导）.进1","模板 JSON：Blueprints/Templates/breaker_lamp_template"
"breaker_lamp_template","空气开关控制照明电路","家庭电路","W-002","power_1","220V电源 [power_1]（根据实例 ID 推导）","AC_220V_Power","N","N","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P2_IN","进2","#1A59F2","Orthogonal","是","6","测量回路（推导）","220V电源 [power_1]（根据实例 ID 推导）.N → 空气开关2P [breaker_1]（根据实例 ID 推导）.进2","模板 JSON：Blueprints/Templates/breaker_lamp_template"
"breaker_lamp_template","空气开关控制照明电路","家庭电路","W-003","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P1_OUT","出1","switch_1","单开单控开关 [switch_1]（根据实例 ID 推导）","Single_Control_Switch","L","L","#F21F1F","Orthogonal","否","0","主回路或供电端（推导）","空气开关2P [breaker_1]（根据实例 ID 推导）.出1 → 单开单控开关 [switch_1]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/breaker_lamp_template"
"breaker_lamp_template","空气开关控制照明电路","家庭电路","W-004","switch_1","单开单控开关 [switch_1]（根据实例 ID 推导）","Single_Control_Switch","L1","L1","lamp_1","电灯泡(220V) [lamp_1]（根据实例 ID 推导）","Lamp_220V","L","L","#F21F1F","Orthogonal","是","6","主回路或供电端（推导）","单开单控开关 [switch_1]（根据实例 ID 推导）.L1 → 电灯泡(220V) [lamp_1]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/breaker_lamp_template"
"breaker_lamp_template","空气开关控制照明电路","家庭电路","W-005","breaker_1","空气开关2P [breaker_1]（根据实例 ID 推导）","Breaker_2P","P2_OUT","出2","lamp_1","电灯泡(220V) [lamp_1]（根据实例 ID 推导）","Lamp_220V","N","N","#1A59F2","Orthogonal","是","6","测量回路（推导）","空气开关2P [breaker_1]（根据实例 ID 推导）.出2 → 电灯泡(220V) [lamp_1]（根据实例 ID 推导）.N","模板 JSON：Blueprints/Templates/breaker_lamp_template"
"double_control_lamp_template","双控照明电路","家庭电路","W-001","power_1","220V电源 [power_1]（根据实例 ID 推导）","AC_220V_Power","L","L","switch_a","单开双控开关 [switch_a]（根据实例 ID 推导）","Two_Way_Switch","L","L","#F21F1F","Orthogonal","否","0","主回路或供电端（推导）","220V电源 [power_1]（根据实例 ID 推导）.L → 单开双控开关 [switch_a]（根据实例 ID 推导）.L","模板 JSON：Blueprints/Templates/double_control_lamp_template"
