"DefinitionName","元件显示名称","元件分类","supportLevel","showInPalette","是否参与运行时仿真","是否参与参数估算","terminalId","端子显示标签","端子类型","端子功能","功能来源","常开常闭或普通","属性来源","主控制测量分类","分类来源","端子方向或画面位置","Visual Prefab 是否存在","Runtime Visual Catalog 是否存在","被哪些模板使用","备注"
"AC_220V_Power","220V电源","Household","ParameterCalculationSupported","是","是","是","L","L","Phase","Phase","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.28,0；原始坐标）","是","是","breaker_lamp_fan_parallel; breaker_lamp_template; double_control_lamp_template; double_lamp_single_switch; lamp_fan_parallel_template; meter_lamp_template; single_lamp_template; two_switch_two_lamp",""
"AC_220V_Power","220V电源","Household","ParameterCalculationSupported","是","是","是","N","N","Neutral","Neutral","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","未自动判定","项目未提供回路分类字段","中间下方（normalizedPosition=0.72,0；原始坐标）","是","是","breaker_lamp_fan_parallel; breaker_lamp_template; double_control_lamp_template; double_lamp_single_switch; lamp_fan_parallel_template; meter_lamp_template; single_lamp_template; two_switch_two_lamp",""
"AC_220V_Power","220V电源","Household","ParameterCalculationSupported","是","是","是","L2","L2","Phase","Phase","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.28,0；原始坐标）","是","是","未被 18 张标准模板使用",""
"AC_220V_Power","220V电源","Household","ParameterCalculationSupported","是","是","是","N2","N2","Neutral","Neutral","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","未自动判定","项目未提供回路分类字段","中间下方（normalizedPosition=0.72,0；原始坐标）","是","是","未被 18 张标准模板使用",""
"Single_Control_Switch","单开单控开关","Household","RuntimeSupported","是","是","否","L","L","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间上方（normalizedPosition=0.5,1；原始坐标）","是","是","breaker_lamp_fan_parallel; breaker_lamp_template; double_lamp_single_switch; lamp_fan_parallel_template; meter_lamp_template; single_lamp_template; two_switch_two_lamp",""
"Single_Control_Switch","单开单控开关","Household","RuntimeSupported","是","是","否","L1","L1","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.5,0；原始坐标）","是","是","breaker_lamp_fan_parallel; breaker_lamp_template; double_lamp_single_switch; lamp_fan_parallel_template; meter_lamp_template; single_lamp_template; two_switch_two_lamp",""
"Two_Way_Switch","单开双控开关","Household","RuntimeSupported","是","是","否","L","L","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间上方（normalizedPosition=0.5,1；原始坐标）","是","是","double_control_lamp_template",""
"Two_Way_Switch","单开双控开关","Household","RuntimeSupported","是","是","否","L1","L1","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.28,0；原始坐标）","是","是","double_control_lamp_template",""
"Two_Way_Switch","单开双控开关","Household","RuntimeSupported","是","是","否","L2","L2","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.72,0；原始坐标）","是","是","double_control_lamp_template",""
"Single_Phase_Meter","单相电能表(220V)","Household","RuntimeSupported","是","是","否","L_IN","L进","Phase","Phase","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧下方（normalizedPosition=0.18,0；原始坐标）","是","是","meter_lamp_template",""
"Single_Phase_Meter","单相电能表(220V)","Household","RuntimeSupported","是","是","否","L_OUT","L出","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.38,0；原始坐标）","是","是","meter_lamp_template",""
"Single_Phase_Meter","单相电能表(220V)","Household","RuntimeSupported","是","是","否","N_IN","N进","Neutral","Neutral","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","未自动判定","项目未提供回路分类字段","中间下方（normalizedPosition=0.62,0；原始坐标）","是","是","meter_lamp_template",""
"Single_Phase_Meter","单相电能表(220V)","Household","RuntimeSupported","是","是","否","N_OUT","N出","Neutral","Neutral","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","未自动判定","项目未提供回路分类字段","右侧下方（normalizedPosition=0.82,0；原始坐标）","是","是","meter_lamp_template",""
"Lamp_220V","电灯泡(220V)","Household","ParameterCalculationSupported","是","是","是","L","L","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧下方（normalizedPosition=0.25,0；原始坐标）","是","是","breaker_lamp_fan_parallel; breaker_lamp_template; double_control_lamp_template; double_lamp_single_switch; lamp_fan_parallel_template; meter_lamp_template; single_lamp_template; two_switch_two_lamp",""
"Lamp_220V","电灯泡(220V)","Household","ParameterCalculationSupported","是","是","是","N","N","Neutral","Neutral","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","未自动判定","项目未提供回路分类字段","右侧下方（normalizedPosition=0.75,0；原始坐标）","是","是","breaker_lamp_fan_parallel; breaker_lamp_template; double_control_lamp_template; double_lamp_single_switch; lamp_fan_parallel_template; meter_lamp_template; single_lamp_template; two_switch_two_lamp",""
"Fan_220V","电风扇(220V)","Household","ParameterCalculationSupported","是","是","是","L","L","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","左侧下方（normalizedPosition=0.25,0；原始坐标）","是","是","breaker_lamp_fan_parallel; lamp_fan_parallel_template",""
"Fan_220V","电风扇(220V)","Household","ParameterCalculationSupported","是","是","是","N","N","Neutral","Neutral","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","未自动判定","项目未提供回路分类字段","右侧下方（normalizedPosition=0.75,0；原始坐标）","是","是","breaker_lamp_fan_parallel; lamp_fan_parallel_template",""
"Breaker_1P","空气开关1P","Household","ParameterCalculationSupported","是","是","是","IN","进","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间上方（normalizedPosition=0.5,1；原始坐标）","是","是","未被 18 张标准模板使用",""
"Breaker_1P","空气开关1P","Household","ParameterCalculationSupported","是","是","是","OUT","出","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.5,0；原始坐标）","是","是","未被 18 张标准模板使用",""
"Breaker_2P","空气开关2P","Household","ParameterCalculationSupported","是","是","是","P1_IN","进1","Input","Input","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间上方（normalizedPosition=0.333,1；原始坐标）","是","是","breaker_lamp_fan_parallel; breaker_lamp_template; double_lamp_single_switch; meter_lamp_template; two_switch_two_lamp",""
"Breaker_2P","空气开关2P","Household","ParameterCalculationSupported","是","是","是","P1_OUT","出1","Output","Output","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","主回路或供电端","根据 TerminalRole 推导","中间下方（normalizedPosition=0.333,0；原始坐标）","是","是","breaker_lamp_fan_parallel; breaker_lamp_template; double_lamp_single_switch; meter_lamp_template; two_switch_two_lamp",""
"Breaker_2P","空气开关2P","Household","ParameterCalculationSupported","是","是","是","P2_IN","进2","Neutral","Neutral","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","测量端子","根据元件分类和 terminalId 推导","中间上方（normalizedPosition=0.667,1；原始坐标）","是","是","breaker_lamp_fan_parallel; breaker_lamp_template; double_lamp_single_switch; meter_lamp_template; two_switch_two_lamp",""
"Breaker_2P","空气开关2P","Household","ParameterCalculationSupported","是","是","是","P2_OUT","出2","Neutral","Neutral","TerminalRole 原始字段","普通端子","项目未提供 NO/NC 字段","测量端子","根据元件分类和 terminalId 推导","中间下方（normalizedPosition=0.667,0；原始坐标）","是","是","breaker_lamp_fan_parallel; breaker_lamp_template; double_lamp_single_switch; meter_lamp_template; two_switch_two_lamp",""
