"模板 ID","模板名称","分类","步骤编号","前置状态","操作步骤","操作对象实例 ID","DefinitionName","操作端或按钮含义","操作类型","等待时间","预期 KM 状态","预期 KT 状态","预期 SQ 状态","预期电机状态","预期灯泡或风扇状态","预期运动方向或位置","预期参数估算","预期检查助手结果","数据或代码证据来源","是否需项目负责人确认"
"breaker_lamp_fan_parallel","空开控制灯泡与风扇并联电路","家庭电路","breaker_lamp_fan_parallel-R-001","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","加载模板后点击“开始仿真”，再点击“检查当前电路”。","Workspace","","见操作步骤","点击","","模板默认状态未包含 KM。","模板默认状态未包含 KT。","模板默认状态未包含 SQ。","模板默认状态未包含电机。","Fan_220V#1=Running；Lamp_220V#1=Off","不适用。","Inspector 报告快照包含“参数估算” Section；具体数值未由快照字段结构化保存，需项目负责人确认。","结构化 Validation 基线：Error=0，Warning=0；RuleId=。","TemplateStaticSnapshots.json + InspectorReportSnapshots.json；WorkspaceController.StartSimulation。","否"
"breaker_lamp_fan_parallel","空开控制灯泡与风扇并联电路","家庭电路","breaker_lamp_fan_parallel-R-002","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","breaker_1","Breaker_2P","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"breaker_lamp_fan_parallel","空开控制灯泡与风扇并联电路","家庭电路","breaker_lamp_fan_parallel-R-003","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","switch_1","Single_Control_Switch","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"breaker_lamp_fan_parallel","空开控制灯泡与风扇并联电路","家庭电路","breaker_lamp_fan_parallel-R-004","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","switch_2","Single_Control_Switch","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"breaker_lamp_fan_parallel","空开控制灯泡与风扇并联电路","家庭电路","breaker_lamp_fan_parallel-R-005","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","点击“停止仿真”，随后重新加载同一模板。","Workspace","","见操作步骤","复位","","","TimerRuntimeState 被 ResetAll 清理；不保留上一轮计时。","","","","MotionRuntimeState 被 ResetAll 清理；重新创建时 Position=50、Direction=Stopped。","","停止不改写模板 JSON；重新加载后回到模板保存的 isClosed 与参数。","WorkspaceController.StopSimulation；SimulationEngine.ResetRuntimeState；RuntimeStateManager.ResetAll。","否"
"breaker_lamp_template","空气开关控制照明电路","家庭电路","breaker_lamp_template-R-001","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","加载模板后点击“开始仿真”，再点击“检查当前电路”。","Workspace","","见操作步骤","点击","","模板默认状态未包含 KM。","模板默认状态未包含 KT。","模板默认状态未包含 SQ。","模板默认状态未包含电机。","Lamp_220V#1=Off","不适用。","Inspector 报告快照包含“参数估算” Section；具体数值未由快照字段结构化保存，需项目负责人确认。","结构化 Validation 基线：Error=0，Warning=0；RuleId=。","TemplateStaticSnapshots.json + InspectorReportSnapshots.json；WorkspaceController.StartSimulation。","否"
"breaker_lamp_template","空气开关控制照明电路","家庭电路","breaker_lamp_template-R-002","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","breaker_1","Breaker_2P","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"breaker_lamp_template","空气开关控制照明电路","家庭电路","breaker_lamp_template-R-003","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","switch_1","Single_Control_Switch","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"breaker_lamp_template","空气开关控制照明电路","家庭电路","breaker_lamp_template-R-004","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","点击“停止仿真”，随后重新加载同一模板。","Workspace","","见操作步骤","复位","","","TimerRuntimeState 被 ResetAll 清理；不保留上一轮计时。","","","","MotionRuntimeState 被 ResetAll 清理；重新创建时 Position=50、Direction=Stopped。","","停止不改写模板 JSON；重新加载后回到模板保存的 isClosed 与参数。","WorkspaceController.StopSimulation；SimulationEngine.ResetRuntimeState；RuntimeStateManager.ResetAll。","否"
"double_control_lamp_template","双控照明电路","家庭电路","double_control_lamp_template-R-001","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","加载模板后点击“开始仿真”，再点击“检查当前电路”。","Workspace","","见操作步骤","点击","","模板默认状态未包含 KM。","模板默认状态未包含 KT。","模板默认状态未包含 SQ。","模板默认状态未包含电机。","Lamp_220V#1=Off","不适用。","Inspector 报告快照包含“参数估算” Section；具体数值未由快照字段结构化保存，需项目负责人确认。","结构化 Validation 基线：Error=0，Warning=0；RuleId=。","TemplateStaticSnapshots.json + InspectorReportSnapshots.json；WorkspaceController.StartSimulation。","否"
"double_control_lamp_template","双控照明电路","家庭电路","double_control_lamp_template-R-002","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","switch_a","Two_Way_Switch","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"double_control_lamp_template","双控照明电路","家庭电路","double_control_lamp_template-R-003","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","双击该可切换元件的操作区域切换状态，再执行一次仿真刷新；完成后恢复模板初始状态。","switch_b","Two_Way_Switch","见操作步骤","切换","","","","","","","","","局部开闭状态由 CircuitComponent 改变；负载、KM、KT、SQ 与电机的后续状态需项目负责人确认，当前快照只固定默认状态。","CircuitComponent.OnPointerClick/Toggle。","是"
"double_control_lamp_template","双控照明电路","家庭电路","double_control_lamp_template-R-004","模板 JSON 默认 isClosed；运行态在 StartSimulation 后建立。","点击“停止仿真”，随后重新加载同一模板。","Workspace","","见操作步骤","复位","","","TimerRuntimeState 被 ResetAll 清理；不保留上一轮计时。","","","","MotionRuntimeState 被 ResetAll 清理；重新创建时 Position=50、Direction=Stopped。","","停止不改写模板 JSON；重新加载后回到模板保存的 isClosed 与参数。","WorkspaceController.StopSimulation；SimulationEngine.ResetRuntimeState；RuntimeStateManager.ResetAll。","否"
