"用例 ID","模板 ID","模板名称","规则 ID","严重等级","规则分类","初始模板","修改类型","涉及实例 ID","DefinitionName","起点 terminalId","终点 terminalId","原导线编号","精确操作步骤","预期检查结果","是否应阻止正常运行","是否应停止正常参数估算","是否允许叠加其他错误","证据来源","是否需项目负责人确认"
"NEG-001","N/A（Editor 测试工厂）","","POWER_POTENTIAL_CONFLICT","Error","PowerSafety","N/A（Editor 测试工厂）","增加导线","power","AC_220V_Power","L","N","不适用（新增直接导线）","AC_220V_Power.power 的 L → 同一 power 的 N。","出现 POWER_POTENTIAL_CONFLICT。","未由当前规则快照统一声明；需项目负责人确认。","需项目负责人确认。","需项目负责人确认。","Assets/Scripts/Editor/PowerSafetyValidationTests.cs:TestPowerConflictSinglePhaseLn","否"
"NEG-002","N/A（Editor 测试工厂）","","LIVE_TO_PE_FAULT","Error","GroundSafety","N/A（Editor 测试工厂）","增加导线","power","AC_220V_Power","L","PE","不适用（新增直接导线）","AC_220V_Power.power 的 L → 同一 power 的 PE。","出现 LIVE_TO_PE_FAULT。","未由当前规则快照统一声明；需项目负责人确认。","需项目负责人确认。","需项目负责人确认。","Assets/Scripts/Editor/PowerSafetyValidationTests.cs:TestLiveToPe","否"
"NEG-003","N/A（Editor 测试工厂）","","NEUTRAL_PE_MISUSE","Warning","GroundSafety","N/A（Editor 测试工厂）","增加导线","power","AC_220V_Power","N","PE","不适用（新增直接导线）","AC_220V_Power.power 的 N → 同一 power 的 PE。","出现 NEUTRAL_PE_MISUSE。","未由当前规则快照统一声明；需项目负责人确认。","需项目负责人确认。","需项目负责人确认。","Assets/Scripts/Editor/PowerSafetyValidationTests.cs:TestNeutralPeMisuse","否"
"NEG-004","N/A（Editor 测试工厂）","","COIL_VOLTAGE_MISMATCH","Error；Warning","PowerSafety","N/A（Editor 测试工厂）","改变端点","power；coil","AC_ThreePhase_Power；Contactor_KM_220V","L1；L2","A1；A2","不适用（新增直接导线）","AC_ThreePhase_Power.power L1 → Contactor_KM_220V.coil A1；L2 → A2。","出现 COIL_VOLTAGE_MISMATCH。","未由当前规则快照统一声明；需项目负责人确认。","需项目负责人确认。","需项目负责人确认。","Assets/Scripts/Editor/PowerSafetyValidationTests.cs:TestCoilMismatch","否"
"NEG-005","需项目负责人确认","","BREAKER_OR_FUSE_BYPASSED","Error","Protection","需项目负责人确认","旁路","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","现有测试工厂可触发，但未提供可唯一映射到 18 张标准模板的安全人工扰动端点。","出现 BREAKER_OR_FUSE_BYPASSED。","未由当前规则快照统一声明；需项目负责人确认。","需项目负责人确认。","需项目负责人确认。","Assets/Scripts/Editor/ProtectionBypassValidationTests.cs","是"
"NEG-006","需项目负责人确认","","MOTOR_CONTACTOR_BYPASSED","Error","PowerSafety","需项目负责人确认","旁路","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","现有测试工厂使用三相电源直接接入电机 U/V/W；标准模板中应删除/旁路哪些既有线需负责人确认。","出现 MOTOR_CONTACTOR_BYPASSED。","未由当前规则快照统一声明；需项目负责人确认。","需项目负责人确认。","需项目负责人确认。","Assets/Scripts/Editor/ProtectionBypassValidationTests.cs:TestMotorBypassedDirectSupply","是"
"NEG-007","需项目负责人确认","","REVERSING_INTERLOCK_MISSING","Warning","Interlock","需项目负责人确认","删除导线","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","规则存在；当前快照和历史资料没有提供唯一可复用的标准模板删除线编号。","出现 REVERSING_INTERLOCK_MISSING。","未由当前规则快照统一声明；需项目负责人确认。","需项目负责人确认。","需项目负责人确认。","Assets/Scripts/Core/Validation/ProtectionBypassValidationHelper.cs；ValidationRuleSnapshots.json","是"
"NEG-008","需项目负责人确认","","THERMAL_RELAY_MAIN_CIRCUIT_BYPASSED","Error","Protection","需项目负责人确认","旁路","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","规则存在；现有测试使用工厂夹具，未提供可唯一映射到热继模板的删除/新增端点组合。","出现 THERMAL_RELAY_MAIN_CIRCUIT_BYPASSED。","未由当前规则快照统一声明；需项目负责人确认。","需项目负责人确认。","需项目负责人确认。","Assets/Scripts/Editor/ThermalTimerBypassValidationTests.cs；ValidationRuleSnapshots.json","是"
"NEG-009","需项目负责人确认","","THERMAL_RELAY_CONTROL_BYPASSED","Error","Protection","需项目负责人确认","旁路","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","工厂夹具证据：KM A2 → AC_ThreePhase_Power N 会绕开 FR 95/96；在正式模板中的完整操作需负责人确认。","出现 THERMAL_RELAY_CONTROL_BYPASSED。","未由当前规则快照统一声明；需项目负责人确认。","需项目负责人确认。","是：历史资料记录可叠加 MOTOR_MISSING_PHASE。","Assets/Scripts/Editor/TopologySafetyTests.cs:Test_ThermalRelayBypassed","是"
"NEG-010","需项目负责人确认","","TIMER_CONTROL_BYPASSED","Error","ControlCircuit","需项目负责人确认","旁路","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","需项目负责人确认","工厂夹具证据：KT 未到时追加 AC_220V_Power L → km_delta A1；标准星三角模板扰动前提需负责人确认。","出现 TIMER_CONTROL_BYPASSED。","未由当前规则快照统一声明；需项目负责人确认。","需项目负责人确认。","需项目负责人确认。","Assets/Scripts/Editor/ThermalTimerBypassValidationTests.cs:TestTimerBypassedStarDeltaEarlyDelta","是"
